OOD Category,Samples,Detected (Mahalanobis),Missed (Mahalanobis),Detection Rate (Maha),Detection Rate (MSP)
Random Noise,100,100,0,1.0,0.0
Natural Images (CIFAR-10),100,0,100,0.0,0.0
Other body-part X-rays (Hand),50,50,0,1.0,1.0
CT/MRI Medical Scans (Brain),50,0,50,0.0,1.0
Low Resolution Chest X-Rays,190,14,176,0.07368421052631578,0.04736842105263158
Low Contrast Chest X-Rays,190,3,187,0.015789473684210527,0.06842105263157895
Low Quality (Blur+Noise) X-Rays,190,9,181,0.04736842105263158,0.06842105263157895
