feature,dtype,missing_rate,unique_values,train_mean,train_std,validation_mean,validation_std,test_mean,test_std,class_0_mean,class_1_mean,smd,univariate_auroc,mutual_information
age,float64,0.0,41,3.079874213836478,1.1335731215659115,3.209691629955947,1.220689414982364,3.082631578947369,1.137417208361031,3.045142857142858,3.087676508344031,0.03754910525819176,0.46031249999999996,0.007010300865101904
gender,int64,0.0,2,0.46226415094339623,0.49883548486353385,0.5903083700440529,0.4928635777343118,0.4842105263157895,0.5010709777629665,0.5028571428571429,0.45314505776636715,-0.09946877195759203,0.56875,0.0
temperature,float64,0.0,44,38.24811320754716,0.94759960938123,38.52246696035242,0.8835653300620291,38.340526315789475,0.8248711535377726,36.761714285714284,38.582028241335045,3.4856490702309295,0.9986458333333333,0.39571076937944905
spo2,int64,0.0,21,92.22012578616352,4.4116336692420886,91.66960352422907,3.9219262606943297,92.2421052631579,4.302615888145783,98.53714285714285,90.801026957638,-2.9878424190868413,0.9912500000000001,0.36396180740768647
heart_rate,int64,0.0,87,123.5964360587002,18.621080131676138,124.431718061674,16.891335636993748,126.80526315789474,17.880821616369122,95.09142857142857,130.0,3.072573883396506,0.97125,0.39204732114959295
cough_severity,int64,0.0,4,1.7819706498951782,1.0479830701886819,1.8370044052863437,1.0196502154795095,1.9473684210526316,1.0527708067211337,0.38285714285714284,2.096277278562259,2.32230859396072,0.971875,0.22476886697652843
