Component,Mean Latency (ms),Median Latency (ms),P95 Latency (ms)
Feature Preprocessing,17.4668599999859,15.811949997441843,28.019725000194736
Standard Inference (No Dropout),17.88682999962475,12.211799999931827,15.849340004933765
MC Dropout Inference (N=15),192.87120100023458,178.36765000538435,278.988375004701
OOD Anomaly Detection,0.03773400065256283,0.01720000000204891,0.023575004161102694
Grad-CAM Generation,58.7669749991619,26.650350002455525,67.45203499886019
Counterfactual Search,326.1294549985905,313.7168500034022,405.9576700085018
