Model Scenario,AUROC,AUPRC,Sensitivity,Specificity,ECE,Brier Score
Image-only (ResNet18),0.9710416666666667,0.9935633647816581,0.9875,0.8,0.0268616644959701,0.031883045760925675
Tabular-only (MLP),1.0,1.0,1.0,1.0,0.00010626769845226876,1.0709088700238365e-07
Image + Basic Clinical (Temp/SpO2/HR),1.0,1.0,1.0,0.9666666666666667,0.003965926682576537,0.002018920539163789
Multimodal Fusion (Original),1.0,1.0,1.0,1.0,0.1391936124155396,0.030885983865211967
Multimodal Fusion (Calibrated),1.0,1.0,1.0,1.0,0.11822875306794517,0.030638342345103466
Multimodal + Engineered Vitals,1.0,1.0,1.0,1.0,0.00020581407987169527,1.3005321298142706e-06
